	AbsoluteDifferenceBestKnownToBest	Best training solution generation	Best training solution quality	Best training solution.Average relative error (test)	Best training solution.Average relative error (training)	Best training solution.Estimation Limits Results.Estimation Limits	Best training solution.Estimation Limits Results.Test Lower Estimation Limit Hits	Best training solution.Estimation Limits Results.Test NaN Evaluations	Best training solution.Estimation Limits Results.Test Upper Estimation Limit Hits	Best training solution.Estimation Limits Results.Training Lower Estimation Limit Hits	Best training solution.Estimation Limits Results.Training NaN Evaluations	Best training solution.Estimation Limits Results.Training Upper Estimation Limit Hits	Best training solution.Mean absolute error (test)	Best training solution.Mean absolute error (training)	Best training solution.Mean squared error (test)	Best training solution.Mean squared error (training)	Best training solution.Model Depth	Best training solution.Model Length	Best training solution.Normalized mean squared error (test)	Best training solution.Normalized mean squared error (training)	Best training solution.Pearson's R² (test)	Best training solution.Pearson's R² (training)	Best training solution.ProblemData	Best training solution.Root mean squared error (test)	Best training solution.Root mean squared error (training)	BestQuality	CurrentAverageQuality	CurrentBestQuality	EstimationLimits	Execution Time	Problem Name	ProblemData	RelativeDifferenceBestKnownToBest	Seed	SymbolicExpressionTreeInterpreter.EvaluatedSolutions	Variable impacts
Test_01_Korn Run 5	-0.95238517691500491	109	0.017614823084995089	13730.8212625764 %	15220.9487110923 %	Lower: -212.9810141875, Upper: 227.018984494263	0	0	9896	0	0	9883	218.20870486171088	218.03098183319895	48054.596599792589	47998.2445728131	10	12	783.75534128682659	788.19527860254482	0.01679432613076922	0.017614823084995089	Korns 11 y = 6.87 + (11 * cos(7.23 * X0³))	219.21358671348952	219.08501676931971	0.017614823084995089	0.00061440159077572314	0.017614823084995089	Lower: -212.9810141875, Upper: 227.018984494263	00:00:19.1266683	Korns 11 y = 6.87 + (11 * cos(7.23 * X0³))	Korns 11 y = 6.87 + (11 * cos(7.23 * X0³))	-98.184038857217 %	1907333595	28891	[[0.263][0.195][0.193][0.184][0.164]]
Test_01_Korn Run 6	-0.94927576336539055	82	0.020724236634609483	427.79590178327 %	473.421147288165 %	Lower: -212.9810141875, Upper: 227.018984494263	0	9846	0	0	9830	0	6.9543217390357688	6.91890187402422	60.104034949173723	59.640440643495474	12	23	0.98027788718360231	0.97937568649343321	0.019927612480931087	0.020724236634609483	Korns 11 y = 6.87 + (11 * cos(7.23 * X0³))	7.752679211032385	7.7227223596019217	0.020724236634609483	0.00030339808659197884	0.020724236634609483	Lower: -212.9810141875, Upper: 227.018984494263	00:00:18.7055475	Korns 11 y = 6.87 + (11 * cos(7.23 * X0³))	Korns 11 y = 6.87 + (11 * cos(7.23 * X0³))	-97.8634807593186 %	1492072139	28906	[[0.278][0.219][0.183][0.17][0.149]]
Test_01_Korn Run 7	-0.95072548539524182	101	0.019274514604758156	427.425347891411 %	473.220969542422 %	Lower: -212.9810141875, Upper: 227.018984494263	0	9828	0	0	9809	0	6.9621773259858584	6.9243373545146589	60.185967666725617	59.727280937452264	28	48	0.98161418401160838	0.98080172009733513	0.018559099117433704	0.019274514604758156	Korns 11 y = 6.87 + (11 * cos(7.23 * X0³))	7.7579615664635524	7.72834270315779	0.019274514604758156	0.00050959520552185946	0.019274514604758156	Lower: -212.9810141875, Upper: 227.018984494263	00:00:28.3713395	Korns 11 y = 6.87 + (11 * cos(7.23 * X0³))	Korns 11 y = 6.87 + (11 * cos(7.23 * X0³))	-98.0129366386847 %	1521779918	28871	[[0.258][0.252][0.247][0.138][0.104]]
Test_01_Korn Run 8	-0.95481015352916809	110	0.015189846470831932	423.897769746837 %	467.874249714322 %	Lower: -212.9810141875, Upper: 227.018984494263	0	0	0	0	0	0	6.9811871425993086	6.9455378298461	60.407697146951527	59.971380050245848	9	13	0.98523052202594741	0.9848101535291669	0.014791336218050564	0.015189846470831932	Korns 11 y = 6.87 + (11 * cos(7.23 * X0³))	7.7722388760865764	7.7441190622462575	0.015189846470831932	0.00035508858542542004	0.015189846470831932	Lower: -212.9810141875, Upper: 227.018984494263	00:00:20.1389662	Korns 11 y = 6.87 + (11 * cos(7.23 * X0³))	Korns 11 y = 6.87 + (11 * cos(7.23 * X0³))	-98.434036446306 %	1176054673	28891	[[0.246][0.214][0.185][0.18][0.175]]
Test_01_Korn Run 9	-0.94984575894748369	78	0.020154241052516259	427.276878747883 %	473.318425330135 %	Lower: -212.9810141875, Upper: 227.018984494263	0	9854	0	0	9841	0	6.9552185455437812	6.9161963702833091	60.172338058497537	59.676868421109091	16	35	0.9813918893924819	0.97997387925194956	0.019036305356974287	0.020154241052516259	Korns 11 y = 6.87 + (11 * cos(7.23 * X0³))	7.757083089570302	7.725080479911461	0.020154241052516259	0.00046246299815629407	0.020154241052516259	Lower: -212.9810141875, Upper: 227.018984494263	00:00:24.8674147	Korns 11 y = 6.87 + (11 * cos(7.23 * X0³))	Korns 11 y = 6.87 + (11 * cos(7.23 * X0³))	-97.9222431904622 %	415297086	28906	[[0.336][0.249][0.16][0.14][0.115]]
Test_01_Korn Run 10	-0.94958955056855332	106	0.020410449431446608	428.011269842565 %	473.545521879606 %	Lower: -212.9810141875, Upper: 227.018984494263	0	9820	0	0	9810	0	6.9636090106606439	6.92396811350704	60.189097729888054	59.659601099070542	14	22	0.98166523435633446	0.9796903267631859	0.018536310416096449	0.020410449431446608	Korns 11 y = 6.87 + (11 * cos(7.23 * X0³))	7.7581632961602489	7.7239627846766936	0.020410449431446608	0.0002621768814802752	0.020410449431446608	Lower: -212.9810141875, Upper: 227.018984494263	00:00:19.6063861	Korns 11 y = 6.87 + (11 * cos(7.23 * X0³))	Korns 11 y = 6.87 + (11 * cos(7.23 * X0³))	-97.895829955521 %	1005024513	28876	[[0.257][0.245][0.199][0.195][0.105]]
Test_01_Korn Run 11	-0.95288747315400413	52	0.017112526845995821	428.857340223296 %	474.162099856841 %	Lower: -212.9810141875, Upper: 227.018984494263	0	9901	0	0	9891	0	6.9745783226630973	6.9385200217282446	60.331373052467477	59.865509508485871	15	20	0.98398570007438679	0.983071617841019	0.016345028697046422	0.017112526845995821	Korns 11 y = 6.87 + (11 * cos(7.23 * X0³))	7.7673272785732079	7.7372804982426393	0.017112526845995821	0.00044925513544695576	0.017112526845995821	Lower: -212.9810141875, Upper: 227.018984494263	00:00:23.7597684	Korns 11 y = 6.87 + (11 * cos(7.23 * X0³))	Korns 11 y = 6.87 + (11 * cos(7.23 * X0³))	-98.2358219746396 %	899867851	28876	[[0.32][0.238][0.158][0.153][0.131]]
Test_01_Korn Run 1	-0.9681416599907301	112	0.0018583400092698611	413.209790832329 %	519.978274781961 %	Lower: -39.9908900111311, Upper: 43.9865891216185	0	5004	0	0	4996	0	0.85312015437362421	0.84650140945793462	1.1050750373218861	1.0957888460723784	8	10	1.002686438838079	0.99816579188808308	9.9201857919609E-05	0.0018583400092698611	Korns 12 y = 2.0 - (2.1 * (cos(9.8 * X0) * sin(1.3 * X4)))	1.0512254930897966	1.0467993341956128	0.0018583400092698611	0.00010950185581254935	0.0018583400092698611	Lower: -39.9908900111311, Upper: 43.9865891216185	00:00:19.7401359	Korns 12 y = 2.0 - (2.1 * (cos(9.8 * X0) * sin(1.3 * X4)))	Korns 12 y = 2.0 - (2.1 * (cos(9.8 * X0) * sin(1.3 * X4)))	-99.8084185557454 %	223383746	28861	[[0.245][0.235][0.223][0.184][0.113]]
Test_01_Korn Run 2	-0.96796847612464965	84	0.0020315238753503338	416.049327868227 %	523.227625951866 %	Lower: -39.9908900111311, Upper: 43.9865891216185	0	5018	0	0	5044	0	0.85272557098996171	0.847015547280839	1.1034634825086418	1.0962649495503038	15	27	1.0012241995311442	0.99859947964349793	1.111136403677208E-05	0.0020315238753503338	Korns 12 y = 2.0 - (2.1 * (cos(9.8 * X0) * sin(1.3 * X4)))	1.0504587010009683	1.0470267186420334	0.0020315238753503338	0.00011229821467750195	0.0020315238753503338	Lower: -39.9908900111311, Upper: 43.9865891216185	00:00:20.2993341	Korns 12 y = 2.0 - (2.1 * (cos(9.8 * X0) * sin(1.3 * X4)))	Korns 12 y = 2.0 - (2.1 * (cos(9.8 * X0) * sin(1.3 * X4)))	-99.790564548933 %	1416887642	28866	[[0.29][0.225][0.196][0.169][0.121]]
Test_01_Korn Run 3	-0.9669388694572475	88	0.0030611305427524623	413.035587525785 %	519.623917930842 %	Lower: -39.9908900111311, Upper: 43.9865891216185	0	9906	0	0	9907	0	0.85224305221041685	0.845948961809029	1.1033418430923234	1.0944581166591461	17	51	1.0011138303805849	0.99695361621818068	0.0002874730369895946	0.0030611305427524623	Korns 12 y = 2.0 - (2.1 * (cos(9.8 * X0) * sin(1.3 * X4)))	1.0504008011670227	1.0461635229060255	0.0030611305427524623	0.0001152461141988197	0.0030611305427524623	Lower: -39.9908900111311, Upper: 43.9865891216185	00:00:31.8490584	Korns 12 y = 2.0 - (2.1 * (cos(9.8 * X0) * sin(1.3 * X4)))	Korns 12 y = 2.0 - (2.1 * (cos(9.8 * X0) * sin(1.3 * X4)))	-99.684419531675 %	1850596319	28896	[[0.26][0.216][0.186][0.175][0.163]]
Test_01_Korn Run 4	-0.9677783064786315	93	0.0022216935213684738	412.939748234011 %	518.640043879585 %	Lower: -39.9908900111311, Upper: 43.9865891216185	0	0	0	0	0	0	0.85327232179690293	0.84623516327628134	1.1042664017901069	1.09536346364279	12	24	1.001952725873523	0.99777830647863108	2.1688042604407706E-05	0.0022216935213684738	Korns 12 y = 2.0 - (2.1 * (cos(9.8 * X0) * sin(1.3 * X4)))	1.0508408070636137	1.0465961320599222	0.0022216935213684738	0.0001186725908279089	0.0022216935213684738	Lower: -39.9908900111311, Upper: 43.9865891216185	00:00:20.3063061	Korns 12 y = 2.0 - (2.1 * (cos(9.8 * X0) * sin(1.3 * X4)))	Korns 12 y = 2.0 - (2.1 * (cos(9.8 * X0) * sin(1.3 * X4)))	-99.7709594307868 %	1378754612	28921	[[0.282][0.208][0.191][0.17][0.148]]
Test_01_Korn Run 5	-0.9684594413166091	83	0.0015405586833909081	414.924520859429 %	520.199841364803 %	Lower: -39.9908900111311, Upper: 43.9865891216185	0	5023	0	0	4962	0	0.85317249525167227	0.846997873529194	1.1045256173943454	1.0961235248078891	12	23	1.002187924355386	0.99847065433146587	5.6026969655793426E-05	0.0015405586833909081	Korns 12 y = 2.0 - (2.1 * (cos(9.8 * X0) * sin(1.3 * X4)))	1.0509641370638416	1.0469591801058382	0.0015405586833909081	0.00010941141371900475	0.0015405586833909081	Lower: -39.9908900111311, Upper: 43.9865891216185	00:00:20.8901411	Korns 12 y = 2.0 - (2.1 * (cos(9.8 * X0) * sin(1.3 * X4)))	Korns 12 y = 2.0 - (2.1 * (cos(9.8 * X0) * sin(1.3 * X4)))	-99.8411795171762 %	1778486623	28846	[[0.232][0.23][0.222][0.162][0.153]]
Test_01_Korn Run 6	-0.9669999299928459	95	0.0030000700071541237	412.519177776976 %	518.14119462874 %	Lower: -39.9908900111311, Upper: 43.9865891216185	0	9924	0	0	9956	0	0.85495625232704442	0.8458801480968916	1.1112202179662474	1.0945176874449609	23	54	1.0082622496094855	0.99700787988477013	5.6453161057633128E-05	0.0030000700071541237	Korns 12 y = 2.0 - (2.1 * (cos(9.8 * X0) * sin(1.3 * X4)))	1.0541443060445981	1.0461919935867225	0.0030000700071541237	0.00016277089840456235	0.0030000700071541237	Lower: -39.9908900111311, Upper: 43.9865891216185	00:00:24.1652349	Korns 12 y = 2.0 - (2.1 * (cos(9.8 * X0) * sin(1.3 * X4)))	Korns 12 y = 2.0 - (2.1 * (cos(9.8 * X0) * sin(1.3 * X4)))	-99.6907144322522 %	177260222	28876	[[0.288][0.203][0.192][0.181][0.135]]
Test_01_Korn Run 7	-0.96825957620684888	101	0.0017404237931510961	412.740819132807 %	519.585899828355 %	Lower: -39.9908900111311, Upper: 43.9865891216185	0	9943	0	0	9953	0	0.85280838544111415	0.84644175257953924	1.104993836327226	1.095894276420275	18	46	1.0026127613651294	0.998261829520755	0.00012475406843821146	0.0017404237931510961	Korns 12 y = 2.0 - (2.1 * (cos(9.8 * X0) * sin(1.3 * X4)))	1.0511868703171792	1.0468496914171943	0.0017404237931510961	7.161688818376376E-05	0.0017404237931510961	Lower: -39.9908900111311, Upper: 43.9865891216185	00:00:22.8069707	Korns 12 y = 2.0 - (2.1 * (cos(9.8 * X0) * sin(1.3 * X4)))	Korns 12 y = 2.0 - (2.1 * (cos(9.8 * X0) * sin(1.3 * X4)))	-99.8205748666855 %	1482892858	28861	[[0.318][0.218][0.216][0.13][0.118]]
Test_01_Korn Run 8	-0.96834836172517136	32	0.0016516382748286466	412.005325385866 %	517.583812715986 %	Lower: -39.9908900111311, Upper: 43.9865891216185	0	4938	0	0	4988	0	0.85322159304802736	0.84648226301597829	1.1047829098246276	1.0959950131024105	10	13	1.0024213778512514	0.9983535916430436	2.6998336971937131E-05	0.0016516382748286466	Korns 12 y = 2.0 - (2.1 * (cos(9.8 * X0) * sin(1.3 * X4)))	1.0510865377430287	1.0468978045169501	0.0016516382748286466	7.7617381489409248E-05	0.0016516382748286466	Lower: -39.9908900111311, Upper: 43.9865891216185	00:00:21.5599582	Korns 12 y = 2.0 - (2.1 * (cos(9.8 * X0) * sin(1.3 * X4)))	Korns 12 y = 2.0 - (2.1 * (cos(9.8 * X0) * sin(1.3 * X4)))	-99.8297280129043 %	1931006369	28851	[[0.34][0.175][0.17][0.162][0.153]]
Test_01_Korn Run 9	-0.96821234586578286	86	0.0017876541342171123	416.461368740553 %	523.882819404577 %	Lower: -39.9908900111311, Upper: 43.9865891216185	0	2402	0	0	2397	0	0.8521111186201713	0.84701734271358087	1.1023218315385035	1.0973241413545403	18	39	1.0001883260320676	0.99956430879815061	5.6641197281452807E-06	0.0017876541342171123	Korns 12 y = 2.0 - (2.1 * (cos(9.8 * X0) * sin(1.3 * X4)))	1.0499151544474932	1.0475324058732218	0.0017876541342171123	0.00012193169525286873	0.0017876541342171123	Lower: -39.9908900111311, Upper: 43.9865891216185	00:00:24.2504454	Korns 12 y = 2.0 - (2.1 * (cos(9.8 * X0) * sin(1.3 * X4)))	Korns 12 y = 2.0 - (2.1 * (cos(9.8 * X0) * sin(1.3 * X4)))	-99.8157057593591 %	1074144102	28876	[[0.229][0.227][0.197][0.186][0.16]]
Test_01_Korn Run 10	-0.96829469633064413	102	0.0017053036693558165	413.301615691522 %	525.422190521112 %	Lower: -39.9908900111311, Upper: 43.9865891216185	0	5073	0	0	5062	0	0.85230218175678851	0.84660134417940813	1.10319846345006	1.0959593001979562	12	22	1.0009837353028277	0.99832106037602053	7.4892351955346E-05	0.0017053036693558165	Korns 12 y = 2.0 - (2.1 * (cos(9.8 * X0) * sin(1.3 * X4)))	1.0503325489815405	1.0468807478399611	0.0017053036693558165	9.92105843730718E-05	0.0017053036693558165	Lower: -39.9908900111311, Upper: 43.9865891216185	00:00:20.1452741	Korns 12 y = 2.0 - (2.1 * (cos(9.8 * X0) * sin(1.3 * X4)))	Korns 12 y = 2.0 - (2.1 * (cos(9.8 * X0) * sin(1.3 * X4)))	-99.8241954980046 %	1612895986	28876	[[0.239][0.229][0.217][0.167][0.147]]
Test_01_Korn Run 11	-0.96875026828879451	73	0.0012497317112054307	412.852620387372 %	519.838956376672 %	Lower: -39.9908900111311, Upper: 43.9865891216185	0	9849	0	0	9859	0	0.852823937079687	0.84661979311500313	1.1049925556426363	1.0964382056382642	10	14	1.00261159933991	0.99875730046897149	0.00026989300977639172	0.0012497317112054307	Korns 12 y = 2.0 - (2.1 * (cos(9.8 * X0) * sin(1.3 * X4)))	1.051186261155765	1.0471094525589311	0.0012497317112054307	9.14240282608231E-05	0.0012497317112054307	Lower: -39.9908900111311, Upper: 43.9865891216185	00:00:21.5115854	Korns 12 y = 2.0 - (2.1 * (cos(9.8 * X0) * sin(1.3 * X4)))	Korns 12 y = 2.0 - (2.1 * (cos(9.8 * X0) * sin(1.3 * X4)))	-99.8711616792572 %	259303908	28866	[[0.294][0.225][0.164][0.162][0.156]]
Test_01_Korn Run 1	-0.5588311070331814	96	0.41116889296681858	912.360641869897 %	744.439438631014 %	Lower: -16332613.0467268, Upper: 16332296.6723989	0	9989	0	0	9995	0	8205.4663603437584	690.090028965572	370763182406.15674	116166503.29186954	21	58	NaN	0.58887176715226419	5.6649779240007361E-08	0.41116889296681858	Korns 13 y = 32.0 - (3.0 * ((tan(X0) / tan(X1)) * (tan(X2) / tan(X3))))	608903.261944093	10778.056563772039	0.41116889296681858	0.0017742949337296639	0.41116889296681858	Lower: -16332613.0467268, Upper: 16332296.6723989	00:00:27.3049577	Korns 13 y = 32.0 - (3.0 * ((tan(X0) / tan(X1)) * (tan(X2) / tan(X3))))	Korns 13 y = 32.0 - (3.0 * ((tan(X0) / tan(X1)) * (tan(X2) / tan(X3))))	-57.6114543333177 %	1044533669	28886	[[0.317][0.305][0.15][0.133][0.096]]
Test_01_Korn Run 2	-0.60422184439683879	110	0.36577815560316118	2631.42689164144 %	1347.79582976606 %	Lower: -16332613.0467268, Upper: 16332296.6723989	0	8013	0	0	8046	0	8612.3884740885369	877.900451132605	370961392117.3009	125112711.61380365	13	35	NaN	0.63422192709134384	2.0642009309320564E-08	0.36577815560316118	Korns 13 y = 32.0 - (3.0 * ((tan(X0) / tan(X1)) * (tan(X2) / tan(X3))))	609065.999804045	11185.379368345253	0.36577815560316118	0.0035822981569531192	0.36577815560316118	Lower: -16332613.0467268, Upper: 16332296.6723989	00:00:23.2737199	Korns 13 y = 32.0 - (3.0 * ((tan(X0) / tan(X1)) * (tan(X2) / tan(X3))))	Korns 13 y = 32.0 - (3.0 * ((tan(X0) / tan(X1)) * (tan(X2) / tan(X3))))	-62.2909117934885 %	1417471796	28936	[[0.245][0.234][0.188][0.167][0.166]]
Test_01_Korn Run 3	-0.88953861121860089	99	0.0804613887813991	2711.72955979731 %	2290.05778172769 %	Lower: -16332613.0467268, Upper: 16332296.6723989	0	21	0	0	21	0	8667.4003399990142	1192.9708177692191	370783329251.38989	181397022.41574284	9	14	NaN	0.91953861155424421	2.0302993222574987E-07	0.0804613887813991	Korns 13 y = 32.0 - (3.0 * ((tan(X0) / tan(X1)) * (tan(X2) / tan(X3))))	608919.80527109629	13468.37118644058	0.0804613887813991	0.00071893441601300276	0.0804613887813991	Lower: -16332613.0467268, Upper: 16332296.6723989	00:00:24.3708279	Korns 13 y = 32.0 - (3.0 * ((tan(X0) / tan(X1)) * (tan(X2) / tan(X3))))	Korns 13 y = 32.0 - (3.0 * ((tan(X0) / tan(X1)) * (tan(X2) / tan(X3))))	-91.7050114658352 %	521254502	28851	[[0.252][0.215][0.19][0.173][0.17]]
Test_01_Korn Run 4	-0.63201762067354339	84	0.33798237932645658	1321.78011440537 %	840.803328829142 %	Lower: -16332613.0467268, Upper: 16332296.6723989	0	9981	0	0	9990	0	8453.5955131867449	772.28115420891481	370848212536.41095	130603777.50834621	21	47	NaN	0.66205726331339232	1.3721973052987061E-08	0.33798237932645658	Korns 13 y = 32.0 - (3.0 * ((tan(X0) / tan(X1)) * (tan(X2) / tan(X3))))	608973.080305206	11428.200974271769	0.33798237932645658	0.0019654575672534516	0.33798237932645658	Lower: -16332613.0467268, Upper: 16332296.6723989	00:00:26.4315550	Korns 13 y = 32.0 - (3.0 * ((tan(X0) / tan(X1)) * (tan(X2) / tan(X3))))	Korns 13 y = 32.0 - (3.0 * ((tan(X0) / tan(X1)) * (tan(X2) / tan(X3))))	-65.1564557395406 %	1246896101	28926	[[0.233][0.214][0.202][0.196][0.155]]
Test_01_Korn Run 5	-0.5588235832944064	83	0.41117641670559363	1042.06237806514 %	810.411033862349 %	Lower: -16332613.0467268, Upper: 16332296.6723989	0	9968	0	0	9978	0	8750.3915907029859	695.05071688553676	371662728892.87292	116164461.26482765	15	55	NaN	0.58886141569948958	2.067010260979743E-07	0.41117641670559363	Korns 13 y = 32.0 - (3.0 * ((tan(X0) / tan(X1)) * (tan(X2) / tan(X3))))	609641.47569934325	10777.961832592824	0.41117641670559363	0.0039360378328300383	0.41117641670559363	Lower: -16332613.0467268, Upper: 16332296.6723989	00:00:20.1586375	Korns 13 y = 32.0 - (3.0 * ((tan(X0) / tan(X1)) * (tan(X2) / tan(X3))))	Korns 13 y = 32.0 - (3.0 * ((tan(X0) / tan(X1)) * (tan(X2) / tan(X3))))	-57.610678690145 %	1356916282	28936	[[0.298][0.222][0.19][0.16][0.13]]
Test_01_Korn Run 6	-0.55883459439652228	50	0.41116540560347775	1428.5344093372 %	744.167450814491 %	Lower: -16332613.0467268, Upper: 16332296.6723989	0	9995	0	0	9998	0	8641.386432162135	690.03205413118064	371152283464.82916	116167287.08246531	17	48	NaN	0.58887574034711987	1.5247240835072859E-07	0.41116540560347775	Korns 13 y = 32.0 - (3.0 * ((tan(X0) / tan(X1)) * (tan(X2) / tan(X3))))	609222.68791044643	10778.092924189572	0.41116540560347775	0.0035433005148527244	0.41116540560347775	Lower: -16332613.0467268, Upper: 16332296.6723989	00:00:23.9590022	Korns 13 y = 32.0 - (3.0 * ((tan(X0) / tan(X1)) * (tan(X2) / tan(X3))))	Korns 13 y = 32.0 - (3.0 * ((tan(X0) / tan(X1)) * (tan(X2) / tan(X3))))	-57.6118138553116 %	752712449	28851	[[0.263][0.221][0.217][0.183][0.117]]
Test_01_Korn Run 7	-0.55883464851845988	81	0.4111653514815401	1476.00035707376 %	743.643384296655 %	Lower: -16332613.0467268, Upper: 16332296.6723989	0	9999	0	0	9998	0	8383.6327909449319	690.048147171899	371086069618.39429	116167294.85914519	14	35	NaN	0.58887577976870187	6.3422457255573435E-09	0.4111653514815401	Korns 13 y = 32.0 - (3.0 * ((tan(X0) / tan(X1)) * (tan(X2) / tan(X3))))	609168.34259373182	10778.093284952825	0.4111653514815401	0.0036280894664083491	0.4111653514815401	Lower: -16332613.0467268, Upper: 16332296.6723989	00:00:24.3378400	Korns 13 y = 32.0 - (3.0 * ((tan(X0) / tan(X1)) * (tan(X2) / tan(X3))))	Korns 13 y = 32.0 - (3.0 * ((tan(X0) / tan(X1)) * (tan(X2) / tan(X3))))	-57.6118194348928 %	1132343795	28911	[[0.232][0.231][0.189][0.175][0.172]]
Test_01_Korn Run 8	-0.55883464162598662	110	0.41116535837401336	2334.12927372604 %	744.12199325094 %	Lower: -16332613.0467268, Upper: 16332296.6723989	2	9996	0	0	9998	0	11661.318498882189	690.04557313527323	424411243992.65973	116167293.96327122	22	38	NaN	0.58887577522733225	2.0737054467172857E-07	0.41116535837401336	Korns 13 y = 32.0 - (3.0 * ((tan(X0) / tan(X1)) * (tan(X2) / tan(X3))))	651468.52878144442	10778.093243392879	0.41116535837401336	0.0050572863834481927	0.41116535837401336	Lower: -16332613.0467268, Upper: 16332296.6723989	00:00:23.8647765	Korns 13 y = 32.0 - (3.0 * ((tan(X0) / tan(X1)) * (tan(X2) / tan(X3))))	Korns 13 y = 32.0 - (3.0 * ((tan(X0) / tan(X1)) * (tan(X2) / tan(X3))))	-57.6118187243285 %	1053459866	28921	[[0.3][0.26][0.173][0.149][0.117]]
Test_01_Korn Run 9	-0.57144834482455953	93	0.3985516551754405	1311.42402517038 %	793.050157673697 %	Lower: -16332613.0467268, Upper: 16332296.6723989	0	9643	0	0	9646	0	8423.88409832271	717.15175363382889	370930171293.56543	118656556.27115946	19	36	NaN	0.601494355046929	1.7501385258939546E-08	0.3985516551754405	Korns 13 y = 32.0 - (3.0 * ((tan(X0) / tan(X1)) * (tan(X2) / tan(X3))))	609040.36918217945	10892.95902274306	0.3985516551754405	0.0025571819925645357	0.3985516551754405	Lower: -16332613.0467268, Upper: 16332296.6723989	00:00:22.2506745	Korns 13 y = 32.0 - (3.0 * ((tan(X0) / tan(X1)) * (tan(X2) / tan(X3))))	Korns 13 y = 32.0 - (3.0 * ((tan(X0) / tan(X1)) * (tan(X2) / tan(X3))))	-58.9122004973773 %	918553850	28871	[[0.279][0.23][0.199][0.171][0.12]]
Test_01_Korn Run 10	-0.6911632517942079	78	0.278836748205792	2267.70269167661 %	2220.4920625765 %	Lower: -16332613.0467268, Upper: 16332296.6723989	0	5767	2	0	5658	0	11992.947824949077	1089.3922065341828	424183672830.66052	142263929.03542802	14	25	NaN	0.72116495649895551	1.3438557457399425E-07	0.278836748205792	Korns 13 y = 32.0 - (3.0 * ((tan(X0) / tan(X1)) * (tan(X2) / tan(X3))))	651293.84522706841	11927.4443631244	0.278836748205792	0.0012000705907057665	0.278836748205792	Lower: -16332613.0467268, Upper: 16332296.6723989	00:00:24.4620287	Korns 13 y = 32.0 - (3.0 * ((tan(X0) / tan(X1)) * (tan(X2) / tan(X3))))	Korns 13 y = 32.0 - (3.0 * ((tan(X0) / tan(X1)) * (tan(X2) / tan(X3))))	-71.253943483939 %	604230452	28876	[[0.274][0.239][0.205][0.182][0.101]]
Test_01_Korn Run 11	-0.70654092321162387	98	0.2634590767883761	2164.36715655991 %	1689.76913882702 %	Lower: -16332613.0467268, Upper: 16332296.6723989	0	7593	0	0	7467	0	8536.99962191636	895.36381817348524	370784046640.39642	145298797.16348213	10	19	NaN	0.73654932382514138	1.1207318812476128E-08	0.2634590767883761	Korns 13 y = 32.0 - (3.0 * ((tan(X0) / tan(X1)) * (tan(X2) / tan(X3))))	608920.39433771349	12053.995070659443	0.2634590767883761	0.0034030795328752581	0.2634590767883761	Lower: -16332613.0467268, Upper: 16332296.6723989	00:00:23.4690221	Korns 13 y = 32.0 - (3.0 * ((tan(X0) / tan(X1)) * (tan(X2) / tan(X3))))	Korns 13 y = 32.0 - (3.0 * ((tan(X0) / tan(X1)) * (tan(X2) / tan(X3))))	-72.839270434188 %	309028473	28931	[[0.239][0.238][0.203][0.175][0.146]]
Test_01_Korn Run 1	-0.87575658200798756	86	0.094243417992012413	2722.20678546092 %	1205.98499086853 %	Lower: -8610642.94741854, Upper: 8610515.60816634	0	9857	0	0	9850	0	328.38367078481895	362.91362432447539	9966073.09956133	55395219.558192149	28	56	17.0415839136073	0.90584990247563624	2.6241459839926989E-06	0.094243417992012413	Korns 14 y = 22.0 + (4.2 * ((cos(X0) - tan(X1)) * (tanh(X2) / sin(X3))))	3156.9087886033913	7442.7964877586264	0.094243417992012413	0.00070878353982330156	0.094243417992012413	Lower: -8610642.94741854, Upper: 8610515.60816634	00:00:30.5621192	Korns 14 y = 22.0 + (4.2 * ((cos(X0) - tan(X1)) * (tanh(X2) / sin(X3))))	Korns 14 y = 22.0 + (4.2 * ((cos(X0) - tan(X1)) * (tanh(X2) / sin(X3))))	-90.2841837121637 %	1691726759	28911	[[0.23][0.215][0.191][0.185][0.179]]
Test_01_Korn Run 2	-0.17091865792074112	110	0.79908134207925885	960.410260043572 %	855.176087113215 %	Lower: -8610642.94741854, Upper: 8610515.60816634	0	9991	0	0	9990	0	192.02848851215751	245.96434208900666	2642974.4758850206	12292657.522849495	14	20	4.5193799867170865	0.20101558775378092	2.77363085722572E-06	0.79908134207925885	Korns 14 y = 22.0 + (4.2 * ((cos(X0) - tan(X1)) * (tanh(X2) / sin(X3))))	1625.7227549262575	3506.088635908895	0.79908134207925885	0.013435352879842858	0.79908134207925885	Lower: -8610642.94741854, Upper: 8610515.60816634	00:00:28.7283377	Korns 14 y = 22.0 + (4.2 * ((cos(X0) - tan(X1)) * (tanh(X2) / sin(X3))))	Korns 14 y = 22.0 + (4.2 * ((cos(X0) - tan(X1)) * (tanh(X2) / sin(X3))))	-17.6204801980145 %	1537101440	28936	[[0.276][0.249][0.187][0.147][0.142]]
